WKT,名前,説明
"POINT (139.3369655 35.6280213)",ポイント 1,
"POINT (139.3409244 35.6230766)",ポイント 2,
"POINT (139.3392293 35.6242365)",ポイント 3,
"POINT (139.3416755 35.6278382)",ポイント 4,
"POINT (139.3434028 35.6277946)",ポイント 5,
"POINT (139.3457739 35.6257452)",ポイント 6,
